Date_of_Payment,lat,long,pay,day
2013-08-12,38.927256,-94.714336,21.55,11
2013-08-12,39.904838,-86.067263,4.54,11
2013-08-12,39.392671,-75.025676,45.62,11
2013-08-12,39.867098,-104.922688,10.31,11
2013-08-12,33.58016,-84.326757,38,11
2013-08-12,40.302238,-76.866348,5.14,11
2013-08-12,41.43503,-75.610332,3.48,11
2013-08-12,30.290839,-81.631465,19.8,11
2013-08-12,40.872898,-74.170138,45.62,11
2013-08-12,40.576611,-74.362616,0.86,11
2013-08-12,27.471379,-82.37934,2400,11
2013-08-12,26.572627,-81.937186,14.6,11
2013-08-12,26.22116,-80.125066,9.43,11
2013-08-12,38.967311,-76.610143,4.16,11
2013-08-12,33.61837,-117.91709,9.87,11
2013-08-13,25.558428,-80.458168,9.32,12
2013-08-13,47.835318,-122.326981,17.41,12
2013-08-13,29.437532,-98.461582,62.22,12
2013-08-13,43.636855,-84.807511,24.7,12
2013-08-13,40.787006,-74.325993,4.42,12
2013-08-13,40.776629,-73.953914,125.02,12
2013-08-13,40.745527,-73.978449,125.25,12
2013-08-13,40.576611,-74.362616,35.84,12
2013-08-13,40.376408,-74.170037,17.92,12
2013-08-13,37.685879,-120.948033,5.49,12
2013-08-13,26.572627,-81.937186,168.33,12
2013-08-13,36.782012,-119.822019,7.67,12
2013-08-13,34.151161,-116.900557,6.9,12
2013-08-13,33.786594,-118.298662,265.1,12
2013-08-13,33.382744,-111.66139,27,12
2013-08-13,33.276539,-112.18717,54,12
2013-08-13,33.016928,-116.846046,7.88,12
2013-08-13,32.810983,-117.136812,9.02,12
2013-08-13,32.771419,-97.291484,9.13,12
2013-08-13,36.729049,-119.771526,7.67,12
2013-08-13,47.432251,-121.803388,14.52,12
2013-08-14,34.938893,-82.358999,2500,13
2013-08-14,26.22131,-80.26137,1000,13
2013-08-14,37.567086,-122.367573,2500,13
2013-08-14,37.688244,-121.898741,8.35,13
2013-08-14,38.589302,-90.348116,7.04,13
2013-08-14,38.927256,-94.714336,5900,13
2013-08-14,39.233204,-94.883026,2500,13
2013-08-14,39.425137,-84.472925,1600,13
2013-08-14,39.429055,-76.787696,2400,13
2013-08-14,40.013811,-75.228224,4.55,13
2013-08-14,40.071102,-86.117215,2400,13
2013-08-14,40.128175,-75.541769,10.52,13
2013-08-14,40.238544,-85.484122,8.01,13
2013-08-14,40.576611,-74.362616,1600,13
2013-08-14,40.587553,-105.324268,6.09,13
